sno ,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
163,invisible string,folklore,24-07-2020,11,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,0.838,0.653,0.452,7.73E-05,0.108,-11.143,0.055,83.433,0.45,73,252880
164,mad woman,folklore,24-07-2020,12,2QDyYdZyhlP2fp79KZX8Bi,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,0.655,0.592,0.699,1.68E-05,0.114,-8.995,0.0471,141.916,0.506,65,237258
165,epiphany,folklore,24-07-2020,13,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,64,289749
166,betty,folklore,24-07-2020,14,5kI4eCXXzyuIUXjQra0Cxi,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,73,294521
167,peace,folklore,24-07-2020,15,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,0.918,0.647,0.272,1.73E-05,0.0918,-12.906,0.0916,150.044,0.339,65,234000
168,hoax,folklore,24-07-2020,16,6MWoRt97mnSTXZhu3ggi9C,spotify:track:6MWoRt97mnSTXZhu3ggi9C,0.966,0.662,0.181,3.86E-06,0.133,-15.065,0.0415,118.819,0.429,65,220042
169,the lakes - bonus track,folklore (deluxe version),18-08-2020,17,0eFQWVz0qIxDOvhLpZ40P7,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,67,211813
170,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,1,08J4bMHbILkwSIhbtrcvjN,spotify:track:08J4bMHbILkwSIhbtrcvjN,0.898,0.708,0.25,0.026,0.102,-10.731,0.0361,139.803,0.156,54,219893
171,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,2,3EPgWM1zfTSzEc0z4AwWTM,spotify:track:3EPgWM1zfTSzEc0z4AwWTM,0.88,0.395,0.234,0,0.107,-9.704,0.0382,86.478,0.247,54,230680
172,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,3,28tIMaewZuGR8urkvFhQyA,spotify:track:28tIMaewZuGR8urkvFhQyA,0.743,0.64,0.618,0.004,0.0574,-11.715,0.0379,147.948,0.614,51,232346
173,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,4,7N015NTIWGjQDddHUdHPoO,spotify:track:7N015NTIWGjQDddHUdHPoO,0.848,0.359,0.305,6.74E-05,0.111,-10.295,0.0306,151.956,0.108,53,279893
174,my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,5,5mdNyCS7ttVcAyVYOIFEjs,spotify:track:5mdNyCS7ttVcAyVYOIFEjs,0.946,0.531,0.172,1.01E-05,0.0615,-12.34,0.0351,129.007,0.168,55,295173
175,mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,6,2yceD2hx5HhOLgkm1CITCi,spotify:track:2yceD2hx5HhOLgkm1CITCi,0.78,0.509,0.386,3.45E-05,0.118,-8.434,0.0272,109.993,0.109,53,237373
176,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,7,4cOWq0cVsKjxaQpRMbDoH1,spotify:track:4cOWq0cVsKjxaQpRMbDoH1,0.914,0.694,0.449,0.000126,0.1,-11.49,0.0301,94.963,0.363,51,208986
177,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,8,4MGexoZc12lqE0hYkq9YYx,spotify:track:4MGexoZc12lqE0hYkq9YYx,0.5,0.554,0.663,4.77E-05,0.791,-8.961,0.0324,89.977,0.545,54,260000
178,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,9,1gaLZjPrDnHQWJds2Jg4KT,spotify:track:1gaLZjPrDnHQWJds2Jg4KT,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,54,209293
179,illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,10,560uQyz3p5G9WdnMX39xc6,spotify:track:560uQyz3p5G9WdnMX39xc6,0.883,0.489,0.235,0,0.113,-10.274,0.0356,117.699,0.435,53,183720
180,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,11,5KByGq0JijSSDcy0qzuINs,spotify:track:5KByGq0JijSSDcy0qzuINs,0.942,0.59,0.282,4.85E-06,0.11,-10.542,0.0281,83.438,0.351,51,257359
181,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,12,04xrhDrQ2WOW8GLwu7kbc0,spotify:track:04xrhDrQ2WOW8GLwu7kbc0,0.887,0.663,0.465,0.000168,0.109,-10.463,0.0408,141.834,0.346,50,238333
182,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,13,4yyKppX85ZkmlGOC2toBZA,spotify:track:4yyKppX85ZkmlGOC2toBZA,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,49,274880
183,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,14,1mh5dObNoOvCfHmXnhvDEK,spotify:track:1mh5dObNoOvCfHmXnhvDEK,0.841,0.538,0.316,0,0.119,-9.5,0.0299,95.68,0.518,51,290040
184,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,15,4YHHz3VIXgNDGdoL9xC1tx,spotify:track:4YHHz3VIXgNDGdoL9xC1tx,0.93,0.619,0.344,7.61E-05,0.0734,-11.472,0.0647,149.897,0.513,50,214373
185,hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,16,0QTBsdoJhamY3Aid3fOsOd,spotify:track:0QTBsdoJhamY3Aid3fOsOd,0.962,0.682,0.155,0,0.18,-13.083,0.0394,118.832,0.483,51,221800
186,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25-11-2020,17,6mqyTq948oap5AkyTsd6XF,spotify:track:6mqyTq948oap5AkyTsd6XF,0.794,0.606,0.221,0,0.0888,-11.767,0.0468,89.844,0.112,53,199733
187,willow,evermore,11-12-2020,1,0lx2cLdOt3piJbcaXIV74f,spotify:track:0lx2cLdOt3piJbcaXIV74f,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,77,214706
188,champagne problems,evermore,11-12-2020,2,0sY6ZUTh4yoctD8VIXz339,spotify:track:0sY6ZUTh4yoctD8VIXz339,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,77,244000
189,gold rush,evermore,11-12-2020,3,5BK0uqwY9DNfZ630STAEaq,spotify:track:5BK0uqwY9DNfZ630STAEaq,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,67,185320
190,‘tis the damn season,evermore,11-12-2020,4,7dW84mWkdWE5a6lFWxJCBG,spotify:track:7dW84mWkdWE5a6lFWxJCBG,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,0.348,65,229840
191,tolerate it,evermore,11-12-2020,5,0PurA4JVJ8YQgSVopY8fn6,spotify:track:0PurA4JVJ8YQgSVopY8fn6,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,72,245440
192,"no body, no crime (feat. HAIM)",evermore,11-12-2020,6,3RaT22zZsxVYxxKR7TAaYF,spotify:track:3RaT22zZsxVYxxKR7TAaYF,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,66,215626
193,happiness,evermore,11-12-2020,7,73YUReisjb3A9ActdLLjJQ,spotify:track:73YUReisjb3A9ActdLLjJQ,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,64,315146
194,dorothea,evermore,11-12-2020,8,670fUmXf4KQekzbEgaXyPA,spotify:track:670fUmXf4KQekzbEgaXyPA,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,62,225880
195,coney island (feat. The National),evermore,11-12-2020,9,3k7ne7VmH43ZPWxPdvPUgR,spotify:track:3k7ne7VmH43ZPWxPdvPUgR,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,61,275320
196,ivy,evermore,11-12-2020,10,19CSr8rwW05VJL2F91KFNK,spotify:track:19CSr8rwW05VJL2F91KFNK,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,0.535,66,260440
197,cowboy like me,evermore,11-12-2020,11,1XjHRolIXL2M1EEOUsGGR4,spotify:track:1XjHRolIXL2M1EEOUsGGR4,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,65,275040
198,long story short,evermore,11-12-2020,12,2o2sgVJIgFXk8GQjWTgI6U,spotify:track:2o2sgVJIgFXk8GQjWTgI6U,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,62,215920
199,marjorie,evermore,11-12-2020,13,12ntTeqEeTg7GAVpe8Mhpl,spotify:track:12ntTeqEeTg7GAVpe8Mhpl,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,70,257773
200,closure,evermore,11-12-2020,14,35rdVq36LMHQX0Suw9a6tK,spotify:track:35rdVq36LMHQX0Suw9a6tK,0.835,0.689,0.704,4.83E-06,0.134,-10.813,0.245,151.884,0.92,59,180653
201,evermore (feat. Bon Iver),evermore,11-12-2020,15,3O5osWf1rSoKMwe6E9ZaXP,spotify:track:3O5osWf1rSoKMwe6E9ZaXP,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,63,304106
202,right where you left me - bonus track,evermore (deluxe version),07-01-2021,16,3zwMVvkBe2qIKDObWgXw4N,spotify:track:3zwMVvkBe2qIKDObWgXw4N,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,74,245026
203,it's time to go - bonus track,evermore (deluxe version),07-01-2021,17,1kdWw77ZpYOkhxeuhzU1j6,spotify:track:1kdWw77ZpYOkhxeuhzU1j6,0.801,0.592,0.41,1.39E-05,0.09,-12.426,0.0397,151.923,0.416,66,254640
204,Fearless (Taylor's Version),Fearless (Taylor's Version),09-04-2021,1,77sMIMlNaSURUAXq5coCxE,spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,0.43,78,241591
205,Fifteen (Taylor's Version),Fearless (Taylor's Version),09-04-2021,2,2nqio0SfWg6gh2eCtfuMa5,spotify:track:2nqio0SfWg6gh2eCtfuMa5,0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,0.289,66,294419
206,Love Story (Taylor's Version),Fearless (Taylor's Version),09-04-2021,3,6YvqWjhGD8mB5QXcbcUKtx,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97E-06,0.0845,-4.311,0.031,119.054,0.415,78,235766
207,Hey Stephen (Taylor's Version),Fearless (Taylor's Version),09-04-2021,4,550erGcdD9n6PnwxrvYqZT,spotify:track:550erGcdD9n6PnwxrvYqZT,0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,0.797,65,254254
208,White Horse (Taylor's Version),Fearless (Taylor's Version),09-04-2021,5,5YL553x8sHderRBDlm3NM3,spotify:track:5YL553x8sHderRBDlm3NM3,0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,0.366,67,234515
209,You Belong With Me (Taylor's Version),Fearless (Taylor's Version),09-04-2021,6,1qrpoAMXodY6895hGKoUpA,spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,81,231124
210,Breathe (feat. Colbie Caillat) (Taylor's Version),Fearless (Taylor's Version),09-04-2021,7,7HC7R2D8WjXVcUHJyEGjRs,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,63,263377
211,Tell Me Why (Taylor's Version),Fearless (Taylor's Version),09-04-2021,8,0k0vFacOHNuArLWMiH60p7,spotify:track:0k0vFacOHNuArLWMiH60p7,0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,0.541,62,200575
212,You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),09-04-2021,9,6iiAfo4wTA2CVC3Uwx9uh8,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,0.241,64,261842
213,The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),09-04-2021,10,22bPsP2jCgbLUvh82U0Z3M,spotify:track:22bPsP2jCgbLUvh82U0Z3M,0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,76,243136
214,Forever & Always (Taylor's Version),Fearless (Taylor's Version),09-04-2021,11,1msEuwSBneBKpVCZQcFTsU,spotify:track:1msEuwSBneBKpVCZQcFTsU,0.0231,0.598,0.821,0,0.143,-4.433,0.0447,128.03,0.673,67,225328
215,The Best Day (Taylor's Version),Fearless (Taylor's Version),09-04-2021,12,6ON9UuIq49xXY9GPmHIYRp,spotify:track:6ON9UuIq49xXY9GPmHIYRp,0.488,0.642,0.576,0,0.159,-8.524,0.0282,125,0.469,61,245290
216,Change (Taylor's Version),Fearless (Taylor's Version),09-04-2021,13,3ExweHKZF9B752DPQByRVT,spotify:track:3ExweHKZF9B752DPQByRVT,0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,0.344,60,279359
217,Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),09-04-2021,14,2m3ObD945KvpE5y9A1eUWm,spotify:track:2m3ObD945KvpE5y9A1eUWm,0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,0.624,62,237580
218,Untouchable (Taylor's Version),Fearless (Taylor's Version),09-04-2021,15,0tQ9vBYpldCuikPsbgOVKA,spotify:track:0tQ9vBYpldCuikPsbgOVKA,0.0181,0.393,0.531,0,0.169,-6.112,0.0329,200.391,0.224,63,312107
219,Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version),09-04-2021,16,01QdEx6kFr78ZejhQtWR5m,spotify:track:01QdEx6kFr78ZejhQtWR5m,0.819,0.546,0.273,0,0.137,-9.208,0.0308,118.753,0.271,61,267833
220,Come In With The Rain (Taylor's Version),Fearless (Taylor's Version),09-04-2021,17,1n2wszmJyVkw6FHqyLnQsY,spotify:track:1n2wszmJyVkw6FHqyLnQsY,0.0406,0.476,0.564,0,0.102,-5.677,0.0269,143.929,0.167,59,237338
221,Superstar (Taylor's Version),Fearless (Taylor's Version),09-04-2021,18,51A8eKvvZz9uydvIZ7xRSV,spotify:track:51A8eKvvZz9uydvIZ7xRSV,0.157,0.454,0.555,0,0.343,-6.69,0.0283,171.862,0.171,59,263865
222,The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version),09-04-2021,19,1cSFlSBdpT4F5vb1frQ231,spotify:track:1cSFlSBdpT4F5vb1frQ231,0.0279,0.432,0.873,0,0.167,-4.367,0.0577,163.936,0.629,64,238443
223,Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version),09-04-2021,20,2JoJrsEV15OzbijS47lids,spotify:track:2JoJrsEV15OzbijS47lids,0.0135,0.482,0.779,0,0.296,-5.025,0.0409,158.162,0.328,62,241822
224,You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,21,4CHpVfAhuxNJ3ibExe6kxO,spotify:track:4CHpVfAhuxNJ3ibExe6kxO,0.816,0.599,0.494,0,0.101,-7.61,0.0372,142.893,0.44,59,220839
225,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,22,2CYVETnhM9aytqrazYYwrK,spotify:track:2CYVETnhM9aytqrazYYwrK,0.162,0.66,0.817,0,0.0667,-6.269,0.0521,135.942,0.714,70,277591
226,We Were Happy (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,23,34V9RiEPe8MNdU32qJsJa1,spotify:track:34V9RiEPe8MNdU32qJsJa1,0.849,0.609,0.373,0,0.0779,-8.819,0.0263,106.007,0.13,62,244236
227,That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,24,7eResoqEJJAVTkQYSqvO3P,spotify:track:7eResoqEJJAVTkQYSqvO3P,0.225,0.588,0.608,0,0.092,-7.062,0.0365,90.201,0.508,64,189495
228,Don't You (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,25,4uuEGH5SVuzkkSFjo2DEiY,spotify:track:4uuEGH5SVuzkkSFjo2DEiY,0.514,0.563,0.473,1.20E-05,0.109,-11.548,0.0503,101.934,0.405,63,208608
229,Bye Bye Baby (Taylor's Version) (From The Vault),Fearless (Taylor's Version),09-04-2021,26,4qUijfYU8EoIWiY6oSyrgT,spotify:track:4qUijfYU8EoIWiY6oSyrgT,0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,0.527,61,242157
230,State Of Grace (Taylor's Version),Red (Taylor's Version),12-11-2021,1,6lzc0Al0zfZOIFsFvBS1ki,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,0.328,65,295413
231,Red (Taylor's Version),Red (Taylor's Version),12-11-2021,2,4OAuvHryIVv4kMDNSLuPt6,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62E-06,0.0761,-4.908,0.0375,125.047,0.408,73,223093
232,Treacherous (Taylor's Version),Red (Taylor's Version),12-11-2021,3,3S7HNKPakdwNEBFIVTL6dZ,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,65,242720
233,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),12-11-2021,4,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,76,219760
234,All Too Well (Taylor's Version),Red (Taylor's Version),12-11-2021,5,3nsfB1vus2qaloUdcBZvDu,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,71,329160
235,22 (Taylor's Version),Red (Taylor's Version),12-11-2021,6,3yII7UwgLF6K5zW3xad3MP,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02E-05,0.0753,-5.62,0.0281,103.984,0.642,76,230960
236,I Almost Do (Taylor's Version),Red (Taylor's Version),12-11-2021,7,2r9CbjYgFhtAmcFv1cSquB,spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,0.248,64,244586
237,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),12-11-2021,8,5YqltLsjdqFtvqE7Nrysvs,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86E-06,0.0732,-6.139,0.175,172.014,0.716,76,193146
238,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),12-11-2021,9,7eQj6r5PIdYKEIZjucBMcq,spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0,0.0768,-7.039,0.025,100.02,0.663,64,205786
239,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),Red (Taylor's Version),12-11-2021,10,0y6kdSRCVQhSsHSpWvTUm7,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,0.155,67,299080
240,Holy Ground (Taylor's Version),Red (Taylor's Version),12-11-2021,11,7J4b3LVCIGO4CMBDFLPoP6,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,64,202960
241,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),12-11-2021,12,73qMN9bXy7MSPwwGfH3wQr,spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19E-05,0.133,-11.827,0.0275,130.059,0.232,65,284773
242,The Lucky One (Taylor's Version),Red (Taylor's Version),12-11-2021,13,4e5ayHsOLJNLTGfjau2mEw,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,0.538,63,240466
243,Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),Red (Taylor's Version),12-11-2021,14,7qEUFOVcxRI19tbT68JcYK,spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,70,245426
244,Starlight (Taylor's Version),Red (Taylor's Version),12-11-2021,15,7A2cNLRT0YJc1yjxHlKihs,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,0.605,63,220413
245,Begin Again (Taylor's Version),Red (Taylor's Version),12-11-2021,16,05GsNucq8Bngd9fnd4fRa0,spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,66,238866
246,The Moment I Knew (Taylor's Version),Red (Taylor's Version),12-11-2021,17,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,0.208,63,285280
247,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),12-11-2021,18,4pNApnaUWAL2J4KO2eqokq,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,66,223333
248,Girl At Home (Taylor's Version),Red (Taylor's Version),12-11-2021,19,0DMVrlMUn01M0IcpDbwgu7,spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88E-05,0.101,-6.974,0.0326,125.089,0.612,61,220520
249,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),12-11-2021,20,5jAIouBES8LWMiriuNq170,spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57E-06,0.108,-13.778,0.0564,208.918,0.101,61,321640
250,Ronan (Taylor's Version),Red (Taylor's Version),12-11-2021,21,7nWui6jiMM2m9qFmET1Mtj,spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,58,264253
251,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,22,4OmFmE0fzcMG6g0Y8p4eSD,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,67,297013
252,Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,23,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,70,258812
253,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,24,0v4z1tuZvn6LGknom9Qx7d,spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83E-06,0.121,-7.075,0.0931,167.844,0.746,67,224240
254,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,25,3z6XUommYDWPHeFhmhhT6j,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72E-06,0.083,-6.106,0.0535,115.915,0.494,70,225960
255,I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,26,4CkgMiMqZ5JzW9iYXSTMTL,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,70,285106
256,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,27,3oGVx9RBmiYGv5ZCecWLkx,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,63,263533
257,Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,28,4IQkfUsrwXol38VV3U7t7T,spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,0.443,64,240226
258,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,29,6pYNq0ZwpPVazKzsqpf0G8,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,69,200280
259,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),12-11-2021,30,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,80,613026
260,Lavender Haze,Midnights,21-10-2022,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,202395
261,Maroon,Midnights,21-10-2022,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0634,0.655,0.384,1.45E-06,0.0973,-8.29,0.0349,108.058,0.0384,72,218270
262,Anti-Hero,Midnights,21-10-2022,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.121,0.633,0.648,2.62E-06,0.161,-6.645,0.062,96.888,0.49,85,200690
263,Snow On The Beach (feat. Lana Del Rey),Midnights,21-10-2022,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,69,256124
264,"You're On Your Own, Kid",Midnights,21-10-2022,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.447,0.696,0.39,1.55E-05,0.125,-10.331,0.0616,120.032,0.395,77,194206
265,Midnight Rain,Midnights,21-10-2022,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.71,0.604,0.375,5.87E-05,0.116,-11.637,0.0633,137.651,0.203,76,174782
266,Question...?,Midnights,21-10-2022,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.206,0.654,0.51,0,0.249,-8.767,0.242,108.874,0.105,66,210556
267,Vigilante Shit,Midnights,21-10-2022,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.166,0.872,0.267,2.18E-05,0.123,-10.764,0.387,79.964,0.168,74,164801
